"","lon_grid","lat_grid","ano","mes","xco2_mean","uncertanty_mean","xco2_sd","nobs","xco2_se"
"106",-56.75,-10,2016,2,398.718048095703,0.493853604793549,0,5,0
"107",-56.75,-9.5,2016,2,400.309143066406,0.617463707923889,NA,1,NA
"108",-56.5,-30.25,2016,2,401.109283447266,0.477253110408783,0,25,0
"109",-56.5,-30,2016,2,399.896636962891,0.478205519564012,0,17,0
"110",-56.5,-29.75,2016,2,399.948089599609,0.447514663139979,0,3,0
"111",-56.5,-17.5,2016,2,400.169250488281,0.658811032772064,NA,1,NA
"112",-56.5,-17.25,2016,2,399.670166015625,0.511291702588399,0,3,0
"113",-56.5,-17,2016,2,400.980010986328,0.438596591353416,0,2,0
"114",-56.5,-11.5,2016,2,400.865692138672,0.501525054375331,0,3,0
"115",-56.5,-11.25,2016,2,399.818878173828,0.529897600412369,0,5,0
"116",-56.5,-11,2016,2,400.834442138672,0.469134271144867,NA,1,NA
"117",-56.5,-10.75,2016,2,400.508758544922,0.474954456090927,0,2,0
"118",-56.25,-19,2016,2,400.833221435547,0.49946129322052,NA,1,NA
"119",-56.25,-18.75,2016,2,400.456176757812,0.517303586006165,0,5,0
"120",-56.25,-12.25,2016,2,401.231781005859,0.520519157250722,0,6,0
"121",-56.25,-12,2016,2,400.367706298828,0.516405545175076,0,12,0
"122",-56.25,-11.75,2016,2,401.002655029297,0.509266944229603,0,20,0
"123",-56.25,-11.5,2016,2,400.423217773438,0.557399183511734,0,4,0
"124",-56.25,-11.25,2016,2,400.474945068359,0.608298927545547,0,4,0
"125",-56,-19.25,2016,2,400.701324462891,0.556024074554443,NA,1,NA
"126",-56,-13,2016,2,399.459289550781,0.536746114492416,0,6,0
"127",-56,-12.75,2016,2,400.498626708984,0.473895817995071,NA,1,NA
"128",-56,-6.5,2016,2,400.497924804688,0.729734063148499,NA,1,NA
"129",-56,-6.25,2016,2,401.227142333984,0.630158254078456,0,7,0
"130",-55.75,-29.5,2015,2,397.199920654297,0.546565075715383,0,3,0
"131",-55.75,-29.25,2015,2,396.646301269531,0.489000007510185,0,2,0
"132",-55.75,-28.75,2015,2,396.052185058594,0.499302297830582,NA,1,NA
"133",-55.75,-28.5,2015,2,393.361358642578,0.40680980682373,0,2,0
"134",-55.75,-14.5,2016,2,400.873016357422,0.591052651405334,NA,1,NA
"135",-55.75,-8,2016,2,400.163360595703,0.579880893230438,0,4,0
"136",-55.75,-7.5,2016,2,401.096801757812,0.583927750587463,0,6,0
"137",-55.75,-7.25,2016,2,398.401458740234,0.577284634113312,NA,1,NA
"138",-55.5,-30.5,2015,2,396.819488525391,0.537219643592834,0,2,0
"139",-55.5,-30,2015,2,397.237823486328,0.518487084995617,0,11,0
"140",-55.5,-29.5,2015,2,396.146911621094,0.454417606194814,0,9,0
"141",-55.5,-16,2016,2,400.729949951172,0.507697880268097,0,2,0
"142",-55.5,-15.75,2016,2,400.383728027344,0.497398719191551,0,12,0
"143",-55.5,-15.5,2016,2,400.657470703125,0.56142546236515,0,4,0
"144",-55.5,-9,2016,2,399.822814941406,0.602063119411469,NA,1,NA
"145",-55.5,-8.75,2016,2,399.707489013672,0.551617455482483,0,5,0
"146",-55.5,-8.5,2016,2,399.344299316406,0.539328992366791,0,2,0
"147",-55.25,-30.75,2015,2,397.081390380859,0.405345380306244,NA,1,NA
"148",-55.25,-30.5,2015,2,396.757720947266,0.492734845727682,0,8,0
"149",-55.25,-17.25,2015,2,398.302001953125,0.434636950492859,NA,1,NA
"150",-55.25,-17.25,2016,2,400.610290527344,0.56838388244311,0,6,0
"151",-55.25,-17,2016,2,401.274932861328,0.543522665898005,0,3,0
"152",-55.25,-16.75,2015,2,396.254943847656,0.421919677406549,0,8,0
"153",-55.25,-16.75,2016,2,401.195587158203,0.513778044627263,0,13,0
"154",-55.25,-10.25,2015,2,396.552886962891,0.715047597885132,NA,1,NA
"155",-55.25,-10,2015,2,395.895324707031,0.708981156349182,NA,1,NA
"156",-55.25,-9.75,2015,2,396.566528320312,0.675664663314819,0,2,0
"157",-55.25,-9.5,2016,2,401.198699951172,0.58129255771637,0,5,0
"158",-55,-18.75,2015,2,395.4287109375,0.476585894823074,NA,1,NA
"159",-55,-18.5,2015,2,396.837829589844,0.616618653138479,0,3,0
"160",-55,-18.5,2016,2,400.852630615234,0.517004917065302,0,6,0
